check_id,group,description,numeric_dps,tolerance,abs_error,status
R1.1,R1_ramanujan_coefficients,"A_n = 256^n (1/4)_n (1/2)_n (3/4)_n / (1)_n^3, exactly (n = 0..30 audited)",60,0,0e+0,PASS
R1.2,R1_ramanujan_coefficients,"F(z) = sum A_n z^n = 3F2(1/4, 1/2, 3/4; 1, 1; 256 z) at z = 1/1000",60,1e-50,1.56e-61,PASS
R1.3,R1_ramanujan_coefficients,Ramanujan's series (manuscript eq. (1)) sums to 1/pi (orientation anchor),60,1e-50,3.89e-62,PASS
R2.1,R2_beta_gamma_values,"J(s) = int_0^1 [a(1-a)]^s da = B(s+1,s+1) = Gamma(s+1)^2/Gamma(2s+2) (quadrature audit over 8 values of s)",40,1e-20,3.03e-22,PASS
R2.3,R2_beta_gamma_values,J(1/4) = Gamma(1/4)^2 / (12 sqrt(pi)),60,1e-50,0e+0,PASS
R2.4,R2_beta_gamma_values,J(3/4) = 3 Gamma(3/4)^2 / (10 sqrt(pi)),60,1e-50,0e+0,PASS
R2.5,R2_beta_gamma_values,J(1/2) = pi/8,60,1e-50,0e+0,PASS
R3.1,R3_reflection_products,J(s) J(1-s) = pi s(1-s) cot(pi s) / (2 (2s+1)(1-2s)(3-2s)) (8-point numerical sweep),60,1e-50,1.36e-61,PASS
R3.2,R3_reflection_products,J(1/4) J(3/4) = pi/20,60,1e-50,2.53e-61,PASS
R3.3,R3_reflection_products,J(1/3) J(2/3) = pi sqrt(3)/35,60,1e-50,2.72e-61,PASS
R3.4,R3_reflection_products,J(1/6) J(5/6) = 15 pi sqrt(3)/512,60,1e-50,9.72e-62,PASS
R3.5,R3_reflection_products,"Apparent poles of the right-hand side at s = -1/2, 1/2, 3/2 are removable (cot(pi s) vanishes there); the limits agree with J(s)J(1-s)",60,1e-50,0e+0,PASS
R4.1,R4_lemniscatic_relation,K(1/sqrt(2)) = Gamma(1/4)^2 / (4 sqrt(pi)) (classical lemniscatic evaluation),60,1e-50,1.56e-61,PASS
R4.2,R4_lemniscatic_relation,J(1/4) = (1/3) K(1/sqrt(2)),60,1e-50,0e+0,PASS
R4.3,R4_lemniscatic_relation,"J(3/4) = 3 pi / (20 K(1/sqrt(2))), i.e. the conjugate stratum is proportional to the reciprocal period",60,1e-50,0e+0,PASS
R5.1,R5_arcsine_moments,"(1/pi) int_0^1 x^n / sqrt(x(1-x)) dx = 4^(-n) C(2n,n) (quadrature audit for n = 0..4)",40,1e-20,9.63e-23,PASS
R5.2,R5_arcsine_moments,"(4n)!/(n!)^4 = C(4n,2n) C(2n,n)^2, exactly (n = 0..30 audited)",60,0,0e+0,PASS
R5.3,R5_arcsine_moments,A_n = 256^n m_(2n) m_n^2 with m_k the arcsine moments of R5.1 (restatement of R5.1 + R5.2; not a generating mechanism),60,0,0e+0,PASS
R6.1,R6_mirror_tilt,A_s(alpha) / I_s(alpha) = alpha / (s+1) (quadrature audit at 4 points),40,1e-20,5.74e-42,PASS
R6.3,R6_mirror_tilt,d/d(alpha) log I_s(alpha) = psi(s+alpha+1) - psi(s-alpha+1) (numerical differentiation at 4 points),60,1e-40,0e+0,PASS
R7.1,R7_clausen_obstruction,"G_beta(z) = sum J(n) z^n = 2F1(1, 1; 3/2; z/4), checked at z = 1",60,1e-50,7.78e-61,PASS
R7.3,R7_clausen_obstruction,"G_arc(z) = sum 4^(-n) C(2n,n) z^n = (1-z)^(-1/2) = 1F0(1/2; ; z), checked at z = 1/4",60,1e-50,3.11e-61,PASS
R7.4,R7_clausen_obstruction,G_arc(z)^2 = (1-z)^(-1) = 1F0(1; ; z): a degenerate square with no Gauss-type 2F1 square-root structure,60,1e-50,1.56e-61,PASS
R7.5,R7_clausen_obstruction,"Positive control: (a,b,c) = (1/8, 3/8, 1) satisfies c = a + b + 1/2, and 2F1(1/8,3/8;1;x)^2 = 3F2(1/4,1/2,3/4;1,1;x)",60,1e-50,1.56e-61,PASS
R8.1,R8_response_hierarchy,psi(3/4) - psi(1/4) = pi (Gauss digamma theorem / reflection),60,1e-50,0e+0,PASS
R8.2,R8_response_hierarchy,psi(3/2) - psi(1) = 2 - 2 log 2 (diagonal s = alpha = 1/4),60,1e-50,7.78e-62,PASS
R8.3,R8_response_hierarchy,psi'(1/4) = pi^2 + 8 G (Catalan's constant enters at second order),60,1e-50,0e+0,PASS
R8.4,R8_response_hierarchy,"Trigamma reflection psi'(1/4) + psi'(3/4) = 2 pi^2, and psi'(1/4) - psi'(3/4) = 16 G; together these give R8.3",60,1e-50,2.49e-60,PASS
R8.5,R8_response_hierarchy,psi'(1/4) - psi'(3/4) = 16 G (Dirichlet beta at 2),60,1e-50,1.24e-60,PASS
R8.6,R8_response_hierarchy,"Second-order response d^2/d(alpha)^2 log I_s(alpha) = psi'(s+alpha+1) + psi'(s-alpha+1), realised at (s, alpha) = (-1/2, -1/4) where it equals psi'(1/4) + psi'(3/4)",60,1e-30,0e+0,PASS
