check_id,group,description,exact_form,symbolic_status,status
R1.1,R1_ramanujan_coefficients,"A_n = 256^n (1/4)_n (1/2)_n (3/4)_n / (1)_n^3, exactly (n = 0..30 audited)",A_n = (4n)!/(n!)^4,verified (induction: base case n=0 and term-ratio equality),PASS
R1.2,R1_ramanujan_coefficients,"F(z) = sum A_n z^n = 3F2(1/4, 1/2, 3/4; 1, 1; 256 z) at z = 1/1000","F(z) = 3F2(1/4,1/2,3/4; 1,1; 256 z)",documented (a restatement of R1.1),PASS
R1.3,R1_ramanujan_coefficients,Ramanujan's series (manuscript eq. (1)) sums to 1/pi (orientation anchor),1/pi = (2 sqrt(2)/9801) sum A_n (1103 + 26390 n) / 396^(4n),not attempted (requires modular theory; outside repository scope),PASS
R2.1,R2_beta_gamma_values,"J(s) = int_0^1 [a(1-a)]^s da = B(s+1,s+1) = Gamma(s+1)^2/Gamma(2s+2) (quadrature audit over 8 values of s)",J(s) = Gamma(s+1)^2 / Gamma(2s+2),verified,PASS
R2.2,R2_beta_gamma_values,J(s+1)/J(s) = (s+1) / (2(2s+3)) is rational in s (the stratum recurrence),J(s+1)/J(s) = (s+1)/(2(2s+3)),verified,PASS
R2.3,R2_beta_gamma_values,J(1/4) = Gamma(1/4)^2 / (12 sqrt(pi)),J(1/4) = Gamma(1/4)^2 / (12 sqrt(pi)),verified,PASS
R2.4,R2_beta_gamma_values,J(3/4) = 3 Gamma(3/4)^2 / (10 sqrt(pi)),J(3/4) = 3 Gamma(3/4)^2 / (10 sqrt(pi)),verified,PASS
R2.5,R2_beta_gamma_values,J(1/2) = pi/8,J(1/2) = pi/8,verified,PASS
R2.6,R2_beta_gamma_values,"Elementary strata: J(0) = 1, J(1) = 1/6, J(-1/2) = pi",J(0)=1; J(1)=1/6; J(-1/2)=pi,verified,PASS
R3.1,R3_reflection_products,J(s) J(1-s) = pi s(1-s) cot(pi s) / (2 (2s+1)(1-2s)(3-2s)) (8-point numerical sweep),J(s)J(1-s) = pi s(1-s)cot(pi s) / (2(2s+1)(1-2s)(3-2s)),verified,PASS
R3.2,R3_reflection_products,J(1/4) J(3/4) = pi/20,pi/20,verified,PASS
R3.3,R3_reflection_products,J(1/3) J(2/3) = pi sqrt(3)/35,sqrt(3)*pi/35,verified,PASS
R3.4,R3_reflection_products,J(1/6) J(5/6) = 15 pi sqrt(3)/512,15*sqrt(3)*pi/512,verified,PASS
R3.5,R3_reflection_products,"Apparent poles of the right-hand side at s = -1/2, 1/2, 3/2 are removable (cot(pi s) vanishes there); the limits agree with J(s)J(1-s)","limits at s in {-1/2, 1/2, 3/2} agree with J(s)J(1-s)",verified (SymPy limits at each point),PASS
R4.1,R4_lemniscatic_relation,K(1/sqrt(2)) = Gamma(1/4)^2 / (4 sqrt(pi)) (classical lemniscatic evaluation),K(1/sqrt(2)) = Gamma(1/4)^2 / (4 sqrt(pi)),classical (Whittaker-Watson; Borwein-Borwein); audited numerically,PASS
R4.2,R4_lemniscatic_relation,J(1/4) = (1/3) K(1/sqrt(2)),J(1/4) = (1/3) K(1/sqrt(2)),verified against the gamma form of K(1/sqrt(2)),PASS
R4.3,R4_lemniscatic_relation,"J(3/4) = 3 pi / (20 K(1/sqrt(2))), i.e. the conjugate stratum is proportional to the reciprocal period",J(3/4) = 3 pi / (20 K(1/sqrt(2))),"verified via Euler reflection (equivalently, from R3.2 and R4.2)",PASS
R5.1,R5_arcsine_moments,"(1/pi) int_0^1 x^n / sqrt(x(1-x)) dx = 4^(-n) C(2n,n) (quadrature audit for n = 0..4)","m_n = 4^(-n) C(2n,n)",verified,PASS
R5.2,R5_arcsine_moments,"(4n)!/(n!)^4 = C(4n,2n) C(2n,n)^2, exactly (n = 0..30 audited)","A_n = C(4n,2n) C(2n,n)^2",verified,PASS
R5.3,R5_arcsine_moments,A_n = 256^n m_(2n) m_n^2 with m_k the arcsine moments of R5.1 (restatement of R5.1 + R5.2; not a generating mechanism),A_n = 256^n m_(2n) m_n^2,verified,PASS
R6.1,R6_mirror_tilt,A_s(alpha) / I_s(alpha) = alpha / (s+1) (quadrature audit at 4 points),A_s(alpha)/I_s(alpha) = alpha/(s+1),verified,PASS
R6.2,R6_mirror_tilt,"The tilt ratio equals 2 E[a] - 1 for a ~ Beta(s+alpha+1, s-alpha+1); it is algebraic in (s, alpha)","2 E[a] - 1 = alpha/(s+1), E[a] = (s+alpha+1)/(2s+2)",verified,PASS
R6.3,R6_mirror_tilt,d/d(alpha) log I_s(alpha) = psi(s+alpha+1) - psi(s-alpha+1) (numerical differentiation at 4 points),d_alpha log I_s(alpha) = psi(s+alpha+1) - psi(s-alpha+1),verified,PASS
R7.1,R7_clausen_obstruction,"G_beta(z) = sum J(n) z^n = 2F1(1, 1; 3/2; z/4), checked at z = 1","G_beta(z) = 2F1(1,1;3/2;z/4)",verified (coefficient identity J(n) = n!/(4^n (3/2)_n)),PASS
R7.2,R7_clausen_obstruction,"G_beta parameters (a,b,c) = (1, 1, 3/2) do NOT satisfy c = a + b + 1/2 (which would require c = 5/2)",c = 3/2 != 5/2 = a + b + 1/2,verified (exact rational parameter arithmetic),PASS
R7.3,R7_clausen_obstruction,"G_arc(z) = sum 4^(-n) C(2n,n) z^n = (1-z)^(-1/2) = 1F0(1/2; ; z), checked at z = 1/4",G_arc(z) = (1-z)^(-1/2),verified,PASS
R7.4,R7_clausen_obstruction,G_arc(z)^2 = (1-z)^(-1) = 1F0(1; ; z): a degenerate square with no Gauss-type 2F1 square-root structure,G_arc(z)^2 = (1-z)^(-1),verified (elementary),PASS
R7.5,R7_clausen_obstruction,"Positive control: (a,b,c) = (1/8, 3/8, 1) satisfies c = a + b + 1/2, and 2F1(1/8,3/8;1;x)^2 = 3F2(1/4,1/2,3/4;1,1;x)","Clausen square, manuscript eq. (4)",verified (exact rational parameter arithmetic),PASS
R8.1,R8_response_hierarchy,psi(3/4) - psi(1/4) = pi (Gauss digamma theorem / reflection),psi(3/4) - psi(1/4) = pi,verified,PASS
R8.2,R8_response_hierarchy,psi(3/2) - psi(1) = 2 - 2 log 2 (diagonal s = alpha = 1/4),psi(3/2) - psi(1) = 2 - 2 log 2,verified,PASS
R8.3,R8_response_hierarchy,psi'(1/4) = pi^2 + 8 G (Catalan's constant enters at second order),psi'(1/4) = pi^2 + 8 G,"classical; SymPy does not reduce polygamma(1, 1/4) in closed form, so this is audited numerically (see also R8.4)",PASS
R8.4,R8_response_hierarchy,"Trigamma reflection psi'(1/4) + psi'(3/4) = 2 pi^2, and psi'(1/4) - psi'(3/4) = 16 G; together these give R8.3",psi'(1/4) + psi'(3/4) = 2 pi^2,audited numerically (reflection formula for psi'),PASS
R8.5,R8_response_hierarchy,psi'(1/4) - psi'(3/4) = 16 G (Dirichlet beta at 2),psi'(1/4) - psi'(3/4) = 16 G,audited numerically,PASS
